token	corpus size	all contexts size	frequency	co-frequency	specificity
déterminées	118316	10762	1	1	1.04
Vis	118316	10762	1	1	1.04
thésarde	118316	10762	1	1	1.04
Malou	118316	10762	1	1	1.04
BECKet	118316	10762	1	1	1.04
souligner	118316	10762	1	1	1.04
dictateur	118316	10762	1	1	1.04
Mum	118316	10762	1	1	1.04
Psychomot	118316	10762	1	1	1.04
mum	118316	10762	1	1	1.04
psychomot	118316	10762	1	1	1.04
sucrés	118316	10762	1	1	1.04
renforcés	118316	10762	1	1	1.04
béhavioristes	118316	10762	1	1	1.04
comportementalistes	118316	10762	1	1	1.04
Babillage	118316	10762	1	1	1.04
initiées	118316	10762	1	1	1.04
chatouilles	118316	10762	1	1	1.04
vocaux	118316	10762	1	1	1.04
laissent	118316	10762	1	1	1.04
tierces	118316	10762	1	1	1.04
Japonaises	118316	10762	1	1	1.04
dues	118316	10762	1	1	1.04
forts	118316	10762	1	1	1.04
habitue	118316	10762	1	1	1.04
diminution	118316	10762	1	1	1.04
nécessitant	118316	10762	1	1	1.04
introduits	118316	10762	1	1	1.04
axe	118316	10762	1	1	1.04
démontrer	118316	10762	1	1	1.04
contrastées	118316	10762	1	1	1.04
suce	118316	10762	1	1	1.04
aléatoire	118316	10762	1	1	1.04
relâchée	118316	10762	1	1	1.04
surdité	118316	10762	1	1	1.04
cardiaques	118316	10762	1	1	1.04
Vasseur	118316	10762	1	1	1.04
Delion	118316	10762	1	1	1.04
anticipation	118316	10762	1	1	1.04
ajustements	118316	10762	1	1	1.04
posturaux	118316	10762	1	1	1.04
Lise	118316	10762	1	1	1.04
Loumé	118316	10762	1	1	1.04
Péridurale	118316	10762	1	1	1.04
Présentations	118316	10762	1	1	1.04
foetus	118316	10762	1	1	1.04
Avoir	118316	10762	1	1	1.04
pots	118316	10762	1	1	1.04
Premiers	118316	10762	1	1	1.04
Tétine	118316	10762	1	1	1.04
Fièvre	118316	10762	1	1	1.04
Infections	118316	10762	1	1	1.04
varicelle	118316	10762	1	1	1.04
cutanés	118316	10762	1	1	1.04
urinaires	118316	10762	1	1	1.04
Rhume	118316	10762	1	1	1.04
