token	corpus size	all contexts size	frequency	co-frequency	specificity
edges	30855	11879	3	2	0.56
remove	30855	11879	3	2	0.56
came	30855	11879	3	2	0.56
mouth	30855	11879	3	2	0.56
Orthodox	30855	11879	3	2	0.56
clear	30855	11879	3	2	0.56
Romania	30855	11879	3	2	0.56
minor	30855	11879	3	2	0.56
baby-proofing	30855	11879	3	2	0.56
cold	30855	11879	3	2	0.56
regular	30855	11879	3	2	0.56
son	30855	11879	3	2	0.56
delicious	30855	11879	3	2	0.56
touching	30855	11879	3	2	0.56
Cute	30855	11879	3	2	0.56
foreground	30855	11879	3	2	0.56
Getting	30855	11879	8	3	0.55
expect	30855	11879	8	3	0.55
emergency	30855	11879	8	3	0.55
want	30855	11879	8	3	0.55
travel	30855	11879	8	3	0.55
commonly	30855	11879	8	3	0.55
ve	30855	11879	8	3	0.55
both	30855	11879	8	3	0.55
Jesus	30855	11879	8	3	0.55
Ways	30855	11879	8	3	0.55
Bathing	30855	11879	7	3	0.54
days	30855	11879	7	3	0.54
hear	30855	11879	7	3	0.54
held	30855	11879	7	3	0.54
without	30855	11879	7	3	0.54
box	30855	11879	7	3	0.54
AAP	30855	11879	7	3	0.54
medical	30855	11879	7	3	0.54
always	30855	11879	7	3	0.54
attention	30855	11879	7	3	0.54
seats	30855	11879	7	3	0.54
However	30855	11879	7	3	0.54
left	30855	11879	7	3	0.54
Watch	30855	11879	7	3	0.54
-Week-Old	30855	11879	7	3	0.54
yet	30855	11879	6	2	0.50
Show	30855	11879	6	2	0.50
Are	30855	11879	6	2	0.50
Labor	30855	11879	6	2	0.50
until	30855	11879	6	2	0.50
towel	30855	11879	6	2	0.50
needed	30855	11879	6	2	0.50
instead	30855	11879	6	2	0.50
airplane	30855	11879	6	2	0.50
means	30855	11879	6	2	0.50
last	30855	11879	6	2	0.50
hard	30855	11879	6	2	0.50
list	30855	11879	6	2	0.50
lead	30855	11879	6	2	0.50
put	30855	11879	6	2	0.50
object	30855	11879	6	2	0.50
looks	30855	11879	6	2	0.50
Have	30855	11879	4	2	0.47
bank	30855	11879	4	2	0.47
Costs	30855	11879	4	2	0.47
Games	30855	11879	4	2	0.47
Colic	30855	11879	4	2	0.47
Basics	30855	11879	4	2	0.47
messy	30855	11879	4	2	0.47
read	30855	11879	4	2	0.47
comes	30855	11879	4	2	0.47
Go	30855	11879	4	2	0.47
answers	30855	11879	4	2	0.47
training	30855	11879	4	2	0.47
Menu	30855	11879	4	2	0.47
midwife	30855	11879	4	2	0.47
Sally	30855	11879	4	2	0.47
Urang	30855	11879	4	2	0.47
relax	30855	11879	4	2	0.47
camera	30855	11879	4	2	0.47
musical	30855	11879	4	2	0.47
nap	30855	11879	4	2	0.47
regression	30855	11879	4	2	0.47
putting	30855	11879	4	2	0.47
recovery	30855	11879	4	2	0.47
beautiful	30855	11879	4	2	0.47
Prime	30855	11879	4	2	0.47
Anniversary	30855	11879	4	2	0.47
due	30855	11879	4	2	0.47
REUTERS	30855	11879	4	2	0.47
Canary	30855	11879	4	2	0.47
MARITIMO	30855	11879	4	2	0.47
tools	30855	11879	4	2	0.47
social	30855	11879	4	2	0.47
links	30855	11879	4	2	0.47
morning	30855	11879	4	2	0.47
tried	30855	11879	4	2	0.47
Other	30855	11879	4	2	0.47
different	30855	11879	4	2	0.47
sometimes	30855	11879	4	2	0.47
So	30855	11879	4	2	0.47
knew	30855	11879	4	2	0.47
ever	30855	11879	4	2	0.47
slang	30855	11879	4	2	0.47
specific	30855	11879	4	2	0.47
dinner	30855	11879	4	2	0.47
Meaning	30855	11879	4	2	0.47
Uses	30855	11879	4	2	0.47
Asked	30855	11879	4	2	0.47
Questions	30855	11879	4	2	0.47
follow	30855	11879	4	2	0.47
Features	30855	11879	4	2	0.47
Tavia	30855	11879	4	2	0.47
seem	30855	11879	4	2	0.47
along	30855	11879	4	2	0.47
babble	30855	11879	4	2	0.47
milestone	30855	11879	4	2	0.47
speech	30855	11879	4	2	0.47
eye	30855	11879	4	2	0.47
did	30855	11879	4	2	0.47
Nutrition	30855	11879	4	2	0.47
easy	30855	11879	4	2	0.47
goes	30855	11879	4	2	0.47
given	30855	11879	4	2	0.47
recommends	30855	11879	4	2	0.47
necessary	30855	11879	4	2	0.47
precautions	30855	11879	4	2	0.47
affected	30855	11879	4	2	0.47
open	30855	11879	4	2	0.47
Their	30855	11879	4	2	0.47
reading	30855	11879	4	2	0.47
Motor	30855	11879	4	2	0.47
gift	30855	11879	5	2	0.46
near	30855	11879	5	2	0.46
